sampleID,sampleLat,sampleLon,year,window_years,fc,t2m_mean,t2m_var,t2m_ac,tp_mean,tp_var,tp_ac,def_mean,def_var,def_ac,ssrd_mean,ssrd_var,ssrd_ac,TAC_NIRv_bimonthly_24,Coef1,Coef2,Coef3,Coef4,Coef5,Coef6,Coef7,Coef8,diff,eTAC
16,-10.06670471,-67.61669678,2000,4,100,297.9807739,0.718880362,NaN,0.004671499,6.77E-06,NaN,-0.001233329,5.21E-06,NaN,17434160.33,2.88903E+12,NaN,NaN,2477.342529,0,192.4623108,-154.2228851,-45.86634827,-102.0670547,0,0,NaN,NaN
16,-10.06670471,-67.61669678,2001,4,100,298.1268921,1.074340609,NaN,0.004837724,8.42E-06,NaN,-0.001451955,6.50E-06,NaN,17517368.5,2.99939E+12,NaN,NaN,2477.342529,0,192.4623108,-154.2228851,-45.86634827,-102.0670547,0,0,NaN,NaN
16,-10.06670471,-67.61669678,2002,4,100,298.2303874,0.928572164,NaN,0.004923902,7.44E-06,NaN,-0.001447107,5.99E-06,NaN,17594907.72,3.25437E+12,NaN,NaN,2477.342529,0,192.4623108,-154.2228851,-45.86634827,-102.0670547,0,0,NaN,NaN
16,-10.06670471,-67.61669678,2003,4,100,298.2324677,0.751140771,NaN,0.004894629,7.06E-06,NaN,-0.001434551,5.57E-06,NaN,17577141.31,2.99567E+12,NaN,NaN,2477.342529,0,192.4623108,-154.2228851,-45.86634827,-102.0670547,0,0,NaN,NaN
16,-10.06670471,-67.61669678,2004,4,100,298.2313232,0.799252125,0.263573996,0.004943385,7.60E-06,0.065564339,-0.00153716,5.85E-06,-0.036175165,17485732.5,3.41617E+12,0.324436359,0.42699339,2477.342529,0,192.4623108,-154.2228851,-45.86634827,-102.0670547,0,0,0,0.42699339
16,-10.06670471,-67.61669678,2005,4,100,298.2974803,0.575936361,0.316878501,0.004846018,7.75E-06,0.039993211,-0.001462478,5.98E-06,-0.078597115,17529198.71,3.54843E+12,0.253700843,0.186790039,2477.342529,0,192.4623108,-154.2228851,-45.86634827,-102.0670547,0,0,0.001916237,0.184873803
16,-10.06670471,-67.61669678,2006,4,100,298.3180491,0.600424652,0.352036562,0.004690626,8.17E-06,0.048313659,-0.001417082,5.90E-06,-0.075098152,17529058.29,3.20909E+12,0.214497746,0.010758423,2477.342529,0,192.4623108,-154.2228851,-45.86634827,-102.0670547,0,0,-0.000840348,0.011598771
16,-10.06670471,-67.61669678,2007,4,100,298.3778076,0.775915138,0.359414121,0.004705679,8.93E-06,0.059502141,-0.001455675,6.52E-06,-0.043592094,17612094.23,3.32671E+12,0.193174182,0.018438464,2477.342529,0,192.4623108,-154.2228851,-45.86634827,-102.0670547,0,0,0.015697496,0.002740967
16,-10.06670471,-67.61669678,2008,4,100,298.4420675,0.82190313,0.362005068,0.004890562,1.07E-05,0.068941194,-0.001644033,8.12E-06,-0.021158504,17670579.19,3.20245E+12,0.116380351,-0.04416823,2477.342529,0,192.4623108,-154.2228851,-45.86634827,-102.0670547,0,0,0.010328036,-0.054496266
16,-10.06670471,-67.61669678,2009,4,100,298.4388529,1.053192702,0.317887693,0.005125105,1.12E-05,0.144458481,-0.001856752,8.76E-06,0.078811892,17488859.35,3.534E+12,0.082302368,0.057043472,2477.342529,0,192.4623108,-154.2228851,-45.86634827,-102.0670547,0,0,0.029794439,0.027249033
16,-10.06670471,-67.61669678,2010,4,100,298.5780792,1.168640651,0.290369966,0.005077518,1.16E-05,0.214553664,-0.001778005,9.09E-06,0.183800202,17637807.1,3.63421E+12,0.116528401,0.226414194,2477.342529,0,192.4623108,-154.2228851,-45.86634827,-102.0670547,0,0,0.025188986,0.201225208
