sampleID,sampleLat,sampleLon,t2m_ave,t2m_var,t2m_ac,tp_ave,tp_var,tp_ac,def_ave,def_var,def_ac,ssrd_ave,ssrd_var,ssrd_ac,fc
8970,-4.7,-77.1,298.510513509115,0.552352754526845,0.45071558129662,0.00809205534829137,1.06387508658817e-05,0.0221742805163953,0.0117205068046072,1.17425661733433e-05,0.0338783212715733,16036548.875,10305226379233,0.308745744030267,100
8974,-17,-55.6,300.001340332031,3.43167411064424,0.200232677659733,0.00348325925610861,1.13332207427873e-05,0.101314487216896,0.00641175266707838,1.89183302124404e-05,0.199391971188061,18476371.2,13207776028930.9,0.125362604858752,0
8975,-21.5,-49.1,296.851197102865,5.283990654857,0.178230829349351,0.00303306291452202,8.2123473400348e-06,0.0180248193558964,0.00580933892740461,1.49499613032741e-05,0.148705802710018,18203141.0133333,16473435969990.6,0.0956679371117213,0
8980,-2.3,-55.4,300.515682779948,1.62640551065455,0.523722449046119,0.00860972454519773,3.72703172177397e-05,0.180301001882576,0.0125614238458669,3.18387362954477e-05,0.171347417638215,17243268.685,16291154899177.9,0.344163317098336,0
8983,-15.6,-66.4,296.763319498698,3.20644449032204,0.202800100049227,0.00482850495662812,1.22623811219282e-05,0.140953410775958,0.00828219497358077,1.60703317548062e-05,0.194178756188934,15898214.7316667,12264518405352.7,0.216638855438987,100
8984,-13.8,-64.4,299.091490071615,1.99612185652772,0.197642298784006,0.00437377680428654,1.15622075880675e-05,0.080203669641515,0.00755540711209505,1.734243001332e-05,0.145319171579071,17298264.275,11129771365145.8,0.229880017872857,93
8986,-8,-70.3,298.512186686198,0.815500839282172,0.454738420993236,0.0055558941471827,1.03297614517202e-05,0.176761349009262,0.0090778227031357,1.23786700319941e-05,0.225927207353772,16559027.335,10171471829940.2,0.33326569375035,99
8988,-20.4,-47.1,293.838964029948,4.20801286549805,0.132073121704507,0.00335009605610234,1.03478260431227e-05,-0.0127284382959142,0.00574659348917616,1.63739028998999e-05,0.0555500519535824,18062073.9,13726378521311.8,0.121041271267326,30
8991,-1.2,-73.5,298.160227050781,0.620958481698132,0.321118097125514,0.00778491790522821,7.12896546496137e-06,0.032722995726756,0.0113417023106012,7.81249802958375e-06,0.0561078137725699,15487555.8216667,10564714081539.7,0.163464252839851,100
8993,-15.2,-51.9,299.989061686198,2.34840365983106,0.279151000393009,0.00361755153904824,1.48660499676215e-05,0.00581844977706682,0.0062499706505658,2.43582183569087e-05,0.089401188428021,18927090.3683333,12143814263843.4,0.135934085163478,0
8995,-6.3,-62.1,299.607017415365,1.15333060589057,0.457600846265131,0.00649550376278057,1.57531096444921e-05,0.154785326137028,0.0100618071401307,1.69427800432375e-05,0.193955074282775,16051024.6916667,9846600245127.04,0.274603239618385,100
8996,1.6,-55.3,298.215839029948,2.11015858244271,0.477843079216173,0.00479731891495855,1.53939342214816e-05,0.177249521772149,0.00806829067449144,1.70531536851638e-05,0.253657120891311,17309070.8883333,18423654481057,0.335140472819638,100
9000,-8.6,-67,298.769191894531,0.980332194237805,0.458822256968787,0.00544396271463484,1.22251784818127e-05,0.273148938731658,0.00892230478425821,1.4443334365422e-05,0.312963987101199,16527895.245,10356625703620.7,0.332457021157539,100
9002,-0.3,-54,299.092687988281,2.57253080671248,0.409625822469911,0.00484854593545606,1.65554770988909e-05,0.189450145393538,0.00775385723432313,1.87917370293131e-05,0.267506606893787,17079997.235,18198088992714.3,0.268719115285258,100
9005,-18.8,-44.4,296.232362467448,3.95393207504531,0.276166391976644,0.00286046221710118,1.12542902196678e-05,-0.0289532159066299,0.00520531431940071,1.84714772935377e-05,0.0737363737689009,18930097.87,15168310542225.3,0.161414228332739,0
9006,8.1,-80.8,298.958384602865,1.32729472133959,0.558404704288932,0.00700666723185956,3.00606503803114e-05,0.210931404587364,0.00996527597342113,3.50930430491861e-05,0.235076175063679,16740580.6883333,16964118398682.8,0.339111134299003,0
9008,-2.2,-47.3,299.569491373698,1.63539613955728,0.508667672117872,0.00479920927755302,2.15066951103559e-05,0.271500986381363,0.00770487991637007,2.54398247270933e-05,0.309028835305907,17488411.345,13433730991510,0.36719899969302,60
9010,6.1,-77,297.626535644531,0.453049790055855,0.618029573640741,0.021929820079046,6.71608210857698e-05,0.212161786452732,0.0246380231187989,6.60253546242133e-05,0.213248275637499,11165234.4283333,6271292076934.89,0.343907689482541,98
9013,1.4,-57.5,298.228768717448,1.38401934626044,0.536664230901101,0.00683938798999103,2.29374505836077e-05,0.0875909995751025,0.0102165798520825,2.21953654701413e-05,0.139919006111562,16194029.43,14949517138849.1,0.274099247194679,100
