sampleID,sampleLon,sampleLat,FC
101,-65.200000000001,-0.599999999999974,100
102,-57.0000000000009,-8.79999999999996,100
103,-55.7000000000009,-21.8,0
104,-69.4000000000007,-23.7,0
105,-78.6000000000002,-3.79999999999998,98
106,-54.2000000000009,-22.1,0
107,-58.0000000000009,-7.99999999999996,100
108,-75.0000000000004,4.00000000000003,0
109,-40.6000000000007,-15.3999999999999,97
110,-47.8000000000008,-18.8,2
111,-76.2000000000003,-9.49999999999996,37
112,-40.4000000000007,-13.9999999999999,28
113,-53.4000000000009,-4.79999999999997,100
114,-69.1000000000007,3.70000000000003,98
115,-60.000000000001,-1.69999999999997,93
116,-40.9000000000007,-12.7999999999999,0
117,-39.6000000000007,-10.1,0
118,-50.1000000000008,-5.09999999999997,100
119,-76.5000000000003,1.70000000000003,95
120,-59.700000000001,-4.69999999999997,100
121,-57.7000000000009,-6.29999999999997,100
122,-51.6000000000008,-19.4,44
123,-47.4000000000008,-11.8999999999999,45
124,-54.9000000000009,-14.6999999999999,93
125,-63.800000000001,7.50000000000002,97
126,-64.500000000001,-2.89999999999998,100
127,-76.2000000000003,-7.89999999999996,100
128,-63.700000000001,0.400000000000026,82
129,-70.0000000000007,3.40000000000003,100
130,-48.6000000000008,-13.4999999999999,87
131,-71.1000000000006,-5.79999999999997,100
132,-64.400000000001,-21.8,93
133,-68.2000000000008,-3.29999999999998,100
134,-78.5000000000002,-5.39999999999997,8
135,-57.5000000000009,-18.9,82
136,-69.2000000000007,0.900000000000026,100
137,-54.5000000000009,1.30000000000003,100
138,-77.2000000000003,-1.79999999999997,100
139,-71.7000000000006,10.5,NaN
140,-59.300000000001,1.10000000000003,100
141,-56.5000000000009,-21.2,92
142,-58.900000000001,-0.899999999999974,100
143,-75.5000000000004,9.00000000000001,0
144,-74.4000000000004,-7.89999999999996,100
145,-49.1000000000008,-3.39999999999998,0
146,-67.2000000000008,-4.49999999999998,100
147,-70.5000000000007,-17.1999999999999,0
148,-70.8000000000006,-0.0999999999999741,100
149,-70.9000000000006,-15.5999999999999,0
150,-49.6000000000008,-17.0999999999999,0
151,-59.600000000001,6.30000000000002,100
152,-50.3000000000008,-14.9999999999999,0
153,-63.000000000001,-12.5999999999999,99
